屬性,品種,性別,體型,顏色,年紀,結紮,疫苗,地點,網址
屬性: 貓,品種：混種貓,性別： 公,體型： MEDIUM,顏色：虎斑白色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 新北市五股區公立動物之家 ,"('<72394>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/f203d27d-bbc1-47de-b1ae-826719dc4e0f_org.jpg')"
屬性: 貓,品種：混種貓,性別： 公,體型： MEDIUM,顏色：虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 新北市五股區公立動物之家 ,"('<72395>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/710bf383-3a4b-48a3-9152-fbd873a52fb0_org.jpg')"
屬性: 貓,品種：混種貓,性別： 公,體型： MEDIUM,顏色：虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 新北市五股區公立動物之家 ,"('<72396>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/05ebd5c9-7737-43b6-9466-5652397172e9_org.jpg')"
屬性: 貓,品種：混種貓,性別： 母,體型： SMALL,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 桃園市動物保護教育園區 ,"('<72397>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/bedf2b3a-f5aa-486f-98a6-b03dc52ac3a5_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： SMALL,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 桃園市動物保護教育園區 ,"('<72398>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/ab5f88bf-60e6-418f-82ec-b8738e7b3198_org.jpg')"
屬性: 貓,品種：混種貓,性別： 公,體型： SMALL,顏色：黑虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 桃園市動物保護教育園區 ,"('<72399>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/0236604f-2d2f-4b4d-b82c-ceaaed680f46_org.jpg')"
屬性: 貓,品種：混種貓,性別： 母,體型： MEDIUM,顏色：花色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 屏東縣公立犬貓中途之家 ,"('<72400>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/dedfb3aa-87fa-4681-a1a4-31aa1e4d07d3_org.jpg')"
屬性: 貓,品種：混種貓,性別： 母,體型： MEDIUM,顏色：花色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 屏東縣公立犬貓中途之家 ,"('<72401>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/398cea2c-28b0-4ca3-967b-ce35a3c225c0_org.jpg')"
屬性: 貓,品種：混種貓,性別： 公,體型： MEDIUM,顏色：黃白色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 屏東縣公立犬貓中途之家 ,"('<72402>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/057002a3-892d-4dbb-8791-e49bdc9e64a6_org.jpg')"
屬性: 貓,品種：混種貓,性別： 母,體型： MEDIUM,顏色：花色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 屏東縣公立犬貓中途之家 ,"('<72403>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/1f6fc0a4-aa70-4f55-ab97-a2059832525d_org.jpg')"
屬性: 貓,品種：混種貓,性別： 公,體型： MEDIUM,顏色：黃虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 屏東縣公立犬貓中途之家 ,"('<72404>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/ad393c80-1351-4c1e-aa8c-ddeacad4d485_org.jpg')"
屬性: 貓,品種：混種貓,性別： 公,體型： MEDIUM,顏色：虎斑白色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 新北市五股區公立動物之家 ,"('<72405>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/bedd2f44-48e4-46f6-a740-53dcc27d2cbc_org.jpg')"
屬性: 貓,品種：混種貓,性別： 母,體型： SMALL,顏色：虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 新北市板橋區公立動物之家 ,"('<72406>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/11a10629-ade0-457d-bc8e-d269e02e3ad6_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：黃色,年紀：幼年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 臺北市動物之家 ,"('<72407>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/0568f8ea-c636-479b-8b3c-704669dd9b95_org.jpg')"
屬性: 貓,品種：混種貓,性別： 母,體型： MEDIUM,顏色：黑白色,年紀：幼年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 臺北市動物之家 ,"('<72408>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/b981f945-0475-4450-b572-9818b9d5ce84_org.jpg')"
屬性: 貓,品種：混種貓,性別： 公,體型： SMALL,顏色：虎斑白色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 新北市板橋區公立動物之家 ,"('<72409>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/72ee6e0b-57f1-42c0-937f-c3e51f9f3c75_org.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： MEDIUM,顏色：黑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 新北市板橋區公立動物之家 ,"('<72410>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/129009f6-91c4-45ba-a9f0-c13a8e3e8f81_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： MEDIUM,顏色：白色,年紀：幼年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 新北市板橋區公立動物之家 ,"('<72411>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/db53e001-6bd4-4ef6-b6fa-c611894161c5_org.JPG')"
屬性: 狗,品種：美國鬥牛犬,性別： 母,體型： BIG,顏色：棕色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 高雄市壽山動物保護教育園區 ,"('<72412>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/1a0cc8d8-3675-4f36-a4b2-dd772803f671_org.JPG')"
屬性: 貓,品種：混種貓,性別： 公,體型： SMALL,顏色：黑白色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 桃園市動物保護教育園區 ,"('<72413>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/a36fd495-1722-489d-bb86-0f60e4d43517_org.JPG')"
屬性: 狗,品種：博美,性別： 公,體型： SMALL,顏色：白色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 新北市五股區公立動物之家 ,"('<72414>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/dd10618e-d37d-4d20-8c42-e028c62b1310_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： BIG,顏色：黑色,年紀：幼年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 雲林縣流浪動物收容所 ,"('<72415>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/d9a35fc1-c73d-4961-b8ff-e3c6c20d4674_org.jpg')"
屬性: 貓,品種：混種貓,性別： 公,體型： BIG,顏色：黑色,年紀：幼年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 雲林縣流浪動物收容所 ,"('<72416>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/a91a6844-4a8d-4fb3-9465-0ac196b88990_org.jpg')"
屬性: 狗,品種：混種狗,性別： 母,體型： BIG,顏色：黑色,年紀：幼年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 雲林縣流浪動物收容所 ,"('<72417>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/4d630e02-58cb-4cde-ae88-f3a4980d1b20_org.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： BIG,顏色：黑色,年紀：幼年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 雲林縣流浪動物收容所 ,"('<72418>', 'https://asms.coa.gov.tw/AmlApp/images/defaultSmall.jpg')"
屬性: 貓,品種：混種貓,性別： 母,體型： SMALL,顏色：虎斑色,年紀：幼年,結紮： 未結紮,狂犬病疫苗： 未施打,地點: 新北市淡水區公立動物之家 ,"('<72419>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/f55b4265-2b9b-44f8-b0cc-c253ab75c87d_org.JPG')"
屬性: 狗,品種：混種狗,性別： 公,體型： BIG,顏色：黑色,年紀：幼年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 雲林縣流浪動物收容所 ,"('<72420>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/a9abfbdf-adb9-46e7-b019-4c0213cf784e_org.jpg')"
屬性: 狗,品種：混種狗,性別： 公,體型： MEDIUM,顏色：黃色,年紀：幼年,結紮： 已結紮,狂犬病疫苗： 已施打,地點: 臺北市動物之家 ,"('<72421>', 'https://asms.coa.gov.tw/AmlApp/Upload/Pic/7016ecbf-d1b1-4755-a75b-4046235fc8fe_org.jpg')"
